Observation Name,Name,ISRO Observed,X-ray type,RA (h),RA (min),RA (sec),DE (deg),DE (arcmin),DE (arcsec),Galactic Longitude (deg),Galactic Lattitude (deg),Observation Type,Position Accuracy (arcsec),V (mag),B - V (mag),U - B (mag),Average Flux (mag),Range,Orbital Period (d),Pulse Period (s),Title 1,URL 1,Title 2,URL 2,Title 3,URL 3
GX 9+1  ,1758-205,TRUE,A,18,1,32.3,-20,31,44,9.1,+1.2,x,3,,,,700,,,,,,,,,
,1803-245,FALSE,T,18,6,50.2,-24,35,15,6.1,-1.9,x,30,,,,2-1000,,,,,,,,,
,J1806-246,FALSE,TB(?)A,18,6,51,-24,35,6,6.14,-1.9,x,90,,,,440,(2-12 keV),,,,,,,,
SAX J1808.4-3658,J1808.4-3658,TRUE,TPB,18,8,27.54,-36,58,44.3,355.4,-8.14,o,0.8,16.6,,,110,,2.014167,0.00249,,,,,,
,J1810.8-2609,FALSE,TB,18,10,44.5,-26,9,1,5.2,-3.4,x,10,,,,16,,,,,,,,,
,1811-171,FALSE,AB,18,14,31.1,-17,9,26,13.5,+0.1,"r,IR",,,,,350,,592.8,,,,,,,
,1812-12,FALSE,B,18,15,12,:-12,5,0,18.1,2.3,x,720,,,,15,,,,,,,,,
GX 17+2,1813-140,TRUE,ZB,18,16,1.4,-14,2,11,16.4,+1.3,o,,17.5,,,700,,,,Coronal vertical structure variations in normal branch of GX 17+2: AstroSat's SXT and LAXPC perspective,https://ui.adsabs.harvard.edu/abs/2020MNRAS.499.2214M,Correction to: AstroSat/LAXPC view of GX 17+2: spectral evolution along the Z-track,https://ui.adsabs.harvard.edu/abs/2020Ap&SS.365...56A,AstroSat/LAXPC view of GX 17+2: spectral evolution along the Z-track,https://ui.adsabs.harvard.edu/abs/2020Ap&SS.365...41A
,J1819.3-2525,FALSE,T,18,19,21.48,-25,25,36,6.75,-4.79,o,0.7,8.8-13.5,,,1-13000,(2-12 keV),,,,,,,,
,1820-303,FALSE,GBA,18,23,40.6,-30,21,41,2.8,-7.9,x,3,,,,250,,0.19,,,,,,,
,1822-371,FALSE,D,18,25,46.8,-37,6,19,356.9,-11.3,o,,15.3-16.3,0.1,-0.9,10-25,,5.57,,,,,,,
,1822-000,FALSE,,18,25,22.1,0,0,44,29.9,+5.8,x,3,22,,,25-62,,,,,,,,,
,1826-238,FALSE,TB,18,29,27,-23,47,29,9.3,-6,x,54,19,0.4,-0.5,30,,,,,,,,,
,1832-330,FALSE,GB,18,35,44,-32,58,55,1.5,-11.4,x,60,,,,8,(0.5-2 keV),,,,,,,,
,1837+049,FALSE,B,18,39,57.5,+05,2,9,36.1,+4.8,o,,19.2,,,225,,,,,,,,,
,1846-031,FALSE,TU,18,49,17.1,-3,3,44,29.9,-0.9,x,15,,,,300,,,,,,,,,
,1850-087,FALSE,GB,18,53,4.9,-8,42,20,25.4,-4.3,o,,21,0.2,-0.9,7,,0.343,,,,,,,
,J1856+053,FALSE,T,18,56,39,+05,19,48,38.27,1.26,x,108,,,,70,,,,,,,,,
,J1859+226,FALSE,T,18,58,41.58,+22,39,29.4,54.05,+8.59,o,0.5,15.31-15.75,0.34,-0.65,600,,,,,,,,,
,1905+000,FALSE,B,19,8,27,+00,10,8,35,3.7,x,5,20.5,0.5,-0.5,10,,,,,,,,,
,1908+005,FALSE,TBA,19,11,16,+00,35,6,35.7,-4.1,o,,14.8,0.6,-0.4,0.1-1300,,19,,,,,,,
,1915+105,FALSE,TB,19,15,17,+10,58,6,45.3,-0.9,x,180,,,,300,,,,,,,,,
,1916-053,FALSE,BD,19,18,48,-5,14,9,31.4,-8.5,o,,21,,,25,,0.83,,,,,,,
