Observation Name,Name,ISRO Observed,X-ray type,RA (h),RA (min),RA (sec),DE (deg),DE (arcmin),DE (arcsec),Galactic Longitude (deg),Galactic Lattitude (deg),Observation Type,Position Accuracy (arcsec),V (mag),B - V (mag),U - B (mag),E(B - V) (mag),Average Flux (mag),Range,Orbital Period (d),Pulse Period (s),Spectral Type,Other Name 1,Other Name 2,Title 1,URL 1,Title 2,URL 2
,J1008-57,FALSE,TP,10,9,46,-58,17,32,283,-1.8,x,15,15.27,-1.66,,1.9,1200,,135,93.5,O9-B1,,,,,,
,1024.0-5732,FALSE,P,10,25,56.6,-57,48,42,284.5,-0.2,o,6,12.7,1.5,,1.8,1 - 10,(0.2-4.5 keV),,0.061,O5:,,",TH{alpha} 35-42",,,,
,1036-565,FALSE,,10,30,22.5,-57,4,39,284.6,+0.7,o,,6.64,-0.1,-0.56,,3.3,,,,B4IIIe,4U 1036-56,",SAO238130",,,,
,J1037.5-5647,FALSE,P,10,37,35.2,-56,47,59,285.4,+1.5,x,21,11.3,0.9,,0.75,0.17,,,862,B0V-IIIe,,,,,,
,1048.1-5937,FALSE,P,10,50,7.9,-59,53,16,288.2,-0.5,x,9,,,,,0-1 - 1,,,6.44,,,,,,,
,1118-615,FALSE,PT,11,20,57.2,-61,54,58,292.5,-0.9,o,,12.1,0.96,-0.3,1.2,0.1 - 70,,,405,O9.5 III-Ve,,,,,,
,1119-603,FALSE,P,11,21,15.2,-60,37,24,292.1,+0.3,o,3,13.3,1.07,-0.04,1.4,10 - 132,,2.09,4.84,O6.5 II-III,Cen X-3,,,,,
,1145-619,FALSE,PT,11,48,0.1,-62,12,25,295.6,-0.2,o,,9.3,0.18,-0.81,0.35,4 - 1000,,187.5,292.4,B1Vne,,",HD102567",,,,
,1145.1-6141,FALSE,P,11,47,28.6,-61,57,14,295.5,0,o,2,13.1,1.5,0.15,1.6,4 - 40,,5.65,298,B2Iae,,,,,,
GX 301-2,1223-624,TRUE,PT,12,26,37.6,-62,46,13,300.1,0,o,3,10.8,1.76,0.42,1.8,9 - 1000,,41.59,696,B1-1.5Ia,GX 301-2,",Wra 977",,,,
,1239-599,FALSE,P,12,42,1.7,-60,12,6,301.8,+2.6,x,30,,,,,3 - 16,,,191,,,,,,,
,1244-604,FALSE,T,12,47,35,-60,38,36,302.5,+2.2,x,372,,,,,24 - 100,,,,,,,,,,
,1246-588,FALSE,T,12,49,36,-59,7,18,302.7,+3.8,x,270,,,,,24 - 300,,,,,,,,,,
,1249-637,FALSE,,12,42,50.4,-63,3,32,302,-0.2,o,,5.31,0.27,-0.79,0.4,2.2,,,,B0IIIe,,",SAO252002",,,,
,1253-761,FALSE,,12,39,15,-75,22,12,302.1,-12.5,o,,6.49,0.08,-0.24,0.2,0.6,,,,B7Vne,,",SAO256967",,,,
,1255-567,FALSE,,12,54,37,-57,10,6,303.4,+5.7,o,,5.17,-0.12,-0.51,0.04,0.8,,,,B5Ve,,",HD1120912",,,,
,1258-613,FALSE,PT?,13,1,17.2,-61,36,7,302.1,+1.2,o,2,13.5 - 14.2,1.7,0.8,2,0.3 - 200,,133,272,B2Vne,GX 304-1,",  *2 (MMV)",,,,
,J1324.4-6200,FALSE,P,13,24,26.3,-62,0,53,306.8,+0.61,x,90,,,,,0.4,,,170.84,1323-6196,,,,,,
2S 1417-624,1417-624,TRUE,PT,14,21,12.9,-62,41,54,313,-1.6,o,,17.2,0.7 - 1.7,0.8,2,2 - 43,,42.12,17.6,OBe,,,,,,
,J1452.8-5949,FALSE,P,14,52,49.3,-59,49,18,317.6,-0.44,x,50,,,,,0.04,,,437.4,,,,,,,
,1538-522,FALSE,P,15,42,23.3,-52,23,10,327.4,+2.1,o,,14.4,1.9,0.6,2.1,3 - 30,,3.73,529,B0Iab,,",  *12",,,,
2S 1553-542,1553-542,TRUE,P,15,57,49.2,-54,24,52,327.9,-0.9,x,3.5,,,,,27,,30.6,9.3,,,,,,,
